Values for TP metric

Algorithm: F-7.A-recS.R-eng
98 / 1017,90 / 2472,75 / 2141,53 / 2139,41 / 2255,40 / 2330
96 / 126,85 / 1136,61 / 901,33 / 959,19 / 969,30 / 1023
91 / 58,87 / 666,53 / 504,23 / 583,6 / 597,9 / 624
86 / 21,80 / 524,41 / 394,13 / 431,6 / 445,8 / 442
81 / 4,80 / 394,35 / 360,6 / 374,2 / 379,5 / 357

Algorithm: F-7.A-recS.R-eig
98 / 1017,36 / 580,28 / 502,16 / 632,17 / 823,7 / 955
96 / 126,31 / 271,14 / 217,5 / 304,7 / 373,10 / 519
91 / 58,17 / 182,11 / 122,3 / 176,3 / 272,7 / 315
86 / 21,18 / 106,7 / 82,4 / 137,1 / 163,4 / 233
81 / 4,19 / 74,4 / 76,3 / 96,3 / 128,3 / 210

Algorithm: F-7.A-recS.R-expht
98 / 1017,94 / 1755,84 / 1529,55 / 1554,41 / 1631,44 / 1893
96 / 126,90 / 514,74 / 390,43 / 454,31 / 509,21 / 622
91 / 58,89 / 239,60 / 187,21 / 199,10 / 230,13 / 287
86 / 21,87 / 112,47 / 87,11 / 103,5 / 147,5 / 137
81 / 4,88 / 59,35 / 71,8 / 73,5 / 80,5 / 80

Algorithm: F-7.A-recS.R-static
98 / 1017,99 / 1186,99 / 1321,97 / 1314,94 / 1410,89 / 1297
96 / 126,98 / 142,93 / 220,90 / 246,76 / 250,65 / 211
91 / 58,95 / 24,83 / 41,79 / 46,48 / 63,39 / 34
86 / 21,89 / 4,67 / 9,59 / 4,27 / 8,15 / 7
81 / 4,82 / 0,53 / 2,33 / 0,14 / 0,8 / 2

