Values for TP metric

Algorithm: F-7.A-recS.R-eng
198 / 1041,145 / 2336,120 / 2089,108 / 2065,79 / 2156,71 / 2272
196 / 126,124 / 1068,98 / 875,69 / 874,46 / 965,43 / 1026
189 / 54,119 / 622,76 / 522,42 / 543,25 / 567,26 / 593
176 / 13,114 / 471,56 / 402,28 / 403,20 / 419,12 / 418
160 / 6,105 / 399,40 / 361,20 / 335,14 / 320,11 / 340

Algorithm: F-7.A-recS.R-eig
198 / 1041,64 / 438,44 / 487,36 / 575,27 / 723,27 / 876
196 / 126,47 / 266,21 / 194,12 / 288,15 / 347,22 / 438
189 / 54,54 / 164,12 / 123,8 / 136,5 / 225,12 / 282
176 / 13,41 / 102,8 / 82,3 / 103,8 / 179,7 / 214
160 / 6,30 / 69,3 / 59,2 / 80,6 / 132,8 / 167

Algorithm: F-7.A-recS.R-expht
198 / 1041,153 / 1636,135 / 1450,91 / 1471,73 / 1659,69 / 1825
196 / 126,136 / 501,102 / 391,49 / 464,39 / 519,43 / 649
189 / 54,121 / 221,76 / 177,24 / 213,14 / 206,15 / 285
176 / 13,112 / 112,61 / 88,11 / 101,9 / 158,4 / 162
160 / 6,113 / 75,49 / 58,4 / 84,6 / 108,6 / 97

Algorithm: F-7.A-recS.R-static
198 / 1041,200 / 1117,198 / 1303,192 / 1339,192 / 1279,186 / 1249
196 / 126,200 / 138,191 / 201,172 / 233,165 / 215,137 / 184
189 / 54,194 / 23,174 / 29,147 / 41,128 / 41,86 / 29
176 / 13,180 / 6,146 / 3,98 / 8,80 / 11,42 / 6
160 / 6,161 / 0,110 / 0,58 / 2,41 / 4,19 / 1

