Values for TP metric

Algorithm: F-7.A-recS.R-eng
100 / 1007,87 / 2477,87 / 2096,95 / 2175,81 / 2232,74 / 2291
100 / 109,87 / 1145,85 / 878,89 / 984,70 / 939,67 / 1035
100 / 45,85 / 658,83 / 560,84 / 597,61 / 592,51 / 632
100 / 11,85 / 504,79 / 410,80 / 444,70 / 408,53 / 434
100 / 1,79 / 421,80 / 347,76 / 341,64 / 363,37 / 358

Algorithm: F-7.A-recS.R-eig
100 / 1007,84 / 503,78 / 519,71 / 642,54 / 786,38 / 963
100 / 109,71 / 280,68 / 204,53 / 308,44 / 393,33 / 507
100 / 45,67 / 132,64 / 120,46 / 155,42 / 231,16 / 330
100 / 11,69 / 115,70 / 82,52 / 133,32 / 156,24 / 247
100 / 1,55 / 87,63 / 61,47 / 93,30 / 133,14 / 203

Algorithm: F-7.A-recS.R-expht
100 / 1007,90 / 1683,80 / 1380,84 / 1504,73 / 1658,69 / 1846
100 / 109,88 / 534,73 / 410,76 / 461,72 / 575,69 / 608
100 / 45,88 / 217,76 / 194,83 / 224,65 / 238,57 / 295
100 / 11,85 / 117,79 / 81,77 / 113,62 / 138,45 / 160
100 / 1,84 / 76,73 / 60,71 / 52,64 / 90,52 / 80

Algorithm: F-7.A-recS.R-static
100 / 1007,100 / 1105,100 / 1356,100 / 1395,99 / 1349,100 / 1305
100 / 109,100 / 149,100 / 229,100 / 228,99 / 234,100 / 252
100 / 45,100 / 27,100 / 35,100 / 45,99 / 51,100 / 57
100 / 11,100 / 8,100 / 6,100 / 10,99 / 9,99 / 13
100 / 1,100 / 3,100 / 1,100 / 2,99 / 2,99 / 3

